Rows	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
rhomel	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
rhomel	0.819437	0.809866	0.796357	0.77877	0.757273	0.732315	0.704643	0.675211	0.644958	0.614526	0.583896	0.552112	0.517107	0.475803	0.424838	0.362492	0.291105	0.218289	0.153871
Dl	1	1	1	1	1	1	1	0.47	0.047	0	0	0	0	0	0	0	0	0	0
vnvir	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
vnvir	0.872509	0.86343	0.850359	0.832911	0.810995	0.784872	0.755283	0.723458	0.690948	0.659335	0.629842	0.603036	0.578589	0.555067	0.52972	0.498468	0.45627	0.398835	0.326046
Dl	1	1	1	1	1	1	1	0.47	0.047	0	0	0	0	0	0	0	0	0	0
6xdlPLZ	0.6	0.6	0.6	0.6	0.6	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0
6xdlPLZ	0.924367	0.90148	0.860492	0.791033	0.682997	0.537888	0.380005	0.244329	0.149134	0.0906949	0.05702	0.0378688	0.0268015	0.0202079	0.0161357	0.013532	0.0118082	0.0106289	0.00979693
Dl	1	1	1	1	1	1	1	0.47	0.047	0	0	0	0	0	0	0	0	0	0
6xEtPLZ	0.6	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6xEtPLZ	0.00679285	0.00669285	0.00669285	0.00669285	0.00669285	0.00669285	0.00669285	0.00669285	0.00669285	0.00669285	0.00669285	0.00669285	0.00669285	0.00669285	0.00669285	0.00669285	0.00669285	0.00669285	0.00669285
Dl	1	1	1	1	1	1	1	0.47	0.047	0	0	0	0	0	0	0	0	0	0
rho2216t1t2s4a	0.6	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rho2216t1t2s4a	0.0675224	0.0618284	0.0548796	0.0473095	0.039822	0.0329593	0.0270453	0.0221933	0.0183602	0.0154171	0.0132017	0.0115568	0.0103464	0.00946014	0.00881218	0.00833829	0.00798976	0.00773107	0.00753667
Dl	1	1	1	1	1	1	1	0.47	0.047	0	0	0	0	0	0	0	0	0	0
